Website,Phone Name,Price,Link
Amazon,Apple iPhone 14 (256 GB) - (Product) RED,"64,900",https://www.amazon.in/Apple-iPhone-256GB-Product-RED/dp/B0BDJ3R6QW/ref=sr_1_11?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-11
Amazon,Apple iPhone 13 (128GB) - Pink,"45,490",https://www.amazon.in/Apple-iPhone-13-128GB-Pink/dp/B09G9FPGTN/ref=sr_1_12?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-12
Amazon,Apple iPhone 14 Plus (128 GB) - Starlight,"59,900",https://www.amazon.in/Apple-iPhone-Plus-128GB-Starlight/dp/B0BDJFTGK6/ref=sr_1_13?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-13
Amazon,Apple iPhone 14 (256 GB) - Yellow,"64,900",https://www.amazon.in/Apple-iPhone-14-256-GB/dp/B0BXQ1ZL9N/ref=sr_1_14?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-14
Amazon,Apple iPhone 13 (128GB) - Midnight,"45,490",https://www.amazon.in/Apple-iPhone-13-128GB-Midnight/dp/B09G9HD6PD/ref=sr_1_15?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-15
Amazon,Apple iPhone 15 (256 GB) - Black,"77,490",https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX2WQLX/ref=sr_1_16?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-16
Amazon,Apple iPhone 14 Plus (128 GB) - Midnight,"59,900",https://www.amazon.in/Apple-iPhone-Plus-128GB-Midnight/dp/B0BDJKL7KM/ref=sr_1_17?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-17
Amazon,Apple iPhone 14 (512 GB) - Starlight,"76,900",https://www.amazon.in/Apple-iPhone-14-512GB-Starlight/dp/B0BDJBXLSJ/ref=sr_1_18?dib=eyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM&dib_tag=se&keywords=iphone+14&qid=1733409472&sr=8-18
Amazon,"iQOO 13 5G (Legend, 16GB RAM, 512GB Storage)","59,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMxMjU3OTYwNjE2MTMyOjE3MzM0MDk0NzI6c3BfYnRmOjMwMDQyNzMyMTQxNDEzMjo6MDo6&url=%2FiQOO-Legend-16GB-512GB-Storage%2Fdp%2FB07WDKLXFR%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM%26dib_tag%3Dse%26keywords%3Diphone%2B14%26qid%3D1733409472%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Amazon,"realme GT 7 Pro (Mars Orange,12GB+256GB) | India's First Snapdragon 8 Elite Processor | 3X Periscope Flagship Camera| RealWorld Eco² OLED Plus Display","59,998",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMxMjU3OTYwNjE2MTMyOjE3MzM0MDk0NzI6c3BfYnRmOjMwMDQyMjA2MzU5NDkzMjo6MDo6&url=%2Frealme-Snapdragon-Processor-RealWorld-Display%2Fdp%2FB0DMFD8L7J%2Fref%3Dsr_1_20_sspa%3Fdib%3DeyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM%26dib_tag%3Dse%26keywords%3Diphone%2B14%26qid%3D1733409472%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
